migration_category_series,date,location,metric,metric_value,,,
Interstate Migration,1/3/2003,Queensland,Interstate Departures,20222,,,
Interstate Migration,1/3/2003,Northern Territory,Interstate Departures,4473,,,
Interstate Migration,1/6/2003,New South Wales,Net Interstate Migration,-8172,,,
Interstate Migration,1/6/2003,Victoria,Net Interstate Migration,-1044,,,
Interstate Migration,1/6/2003,Queensland,Net Interstate Migration,9443,,,
Interstate Migration,1/6/2003,South Australia,Net Interstate Migration,-345,,,
Interstate Migration,1/6/2003,Western Australia,Net Interstate Migration,-9,,,
Interstate Migration,1/6/2003,Tasmania,Net Interstate Migration,645,,,
Interstate Migration,1/6/2003,Northern Territory,Net Interstate Migration,-161,,,
Interstate Migration,1/6/2003,Australian Capital Territory,Net Interstate Migration,-349,,,
Interstate Migration,1/6/2003,New South Wales,Interstate Arrivals,22813,,,
Interstate Migration,1/6/2003,Western Australia,Interstate Arrivals,7822,,,
Interstate Migration,1/6/2003,Victoria,Interstate Departures,18910,,,
Interstate Migration,1/6/2003,Tasmania,Interstate Departures,3420,,,
Interstate Migration,1/9/2003,Australia,Overseas Arrivals,101.7,,,
Interstate Migration,1/9/2003,Australia,Overseas Departures,54.3,,,
Overseas Migration,1/9/2003,Australia,Net Overseas Migration,27224,,,
Interstate Migration,1/9/2003,South Australia,Interstate Arrivals,6364,,,
Interstate Migration,1/9/2003,Australian Capital Territory,Interstate Arrivals,4061,,,
Interstate Migration,1/9/2003,New South Wales,Interstate Departures,28684,,,
Interstate Migration,1/9/2003,Western Australia,Interstate Departures,7041,,,
Overseas Migration,1/12/2003,Australia,Net Overseas Migration,25.2,,,
Overseas Migration,1/12/2003,New South Wales,Net Overseas Migration,7481,,,
Overseas Migration,1/12/2003,Victoria,Net Overseas Migration,5435,,,
Overseas Migration,1/12/2003,Queensland,Net Overseas Migration,6747,,,
Overseas Migration,1/12/2003,South Australia,Net Overseas Migration,1217,,,
Overseas Migration,1/12/2003,Western Australia,Net Overseas Migration,3977,,,
Overseas Migration,1/12/2003,Tasmania,Net Overseas Migration,294,,,
Overseas Migration,1/12/2003,Northern Territory,Net Overseas Migration,4,,,
Overseas Migration,1/12/2003,Australian Capital Territory,Net Overseas Migration,58,,,
Interstate Migration,1/12/2003,Queensland,Interstate Arrivals,31922,,,
Interstate Migration,1/12/2003,Northern Territory,Interstate Arrivals,4642,,,
Interstate Migration,1/12/2003,South Australia,Interstate Departures,8261,,,
Interstate Migration,1/12/2003,Australian Capital Territory,Interstate Departures,5834,,,
Interstate Migration,1/3/2004,Victoria,Interstate Arrivals,17899,,,
Interstate Migration,1/3/2004,Tasmania,Interstate Arrivals,4265,,,
Interstate Migration,1/3/2004,Queensland,Interstate Departures,20530,,,
Interstate Migration,1/3/2004,Northern Territory,Interstate Departures,4355,,,
Interstate Migration,1/6/2004,Australia,Overseas Arrivals,80,,,
Interstate Migration,1/6/2004,Australia,Overseas Departures,56.1,,,
Interstate Migration,1/6/2004,New South Wales,Net Interstate Migration,-7502,,,
Interstate Migration,1/6/2004,Victoria,Net Interstate Migration,-992,,,
Interstate Migration,1/6/2004,Queensland,Net Interstate Migration,8856,,,
Interstate Migration,1/6/2004,South Australia,Net Interstate Migration,-1042,,,
Interstate Migration,1/6/2004,Western Australia,Net Interstate Migration,655,,,
Interstate Migration,1/6/2004,Tasmania,Net Interstate Migration,145,,,
Interstate Migration,1/6/2004,Northern Territory,Net Interstate Migration,49,,,
Interstate Migration,1/6/2004,Australian Capital Territory,Net Interstate Migration,-161,,,
Overseas Migration,1/6/2004,Australia,Net Overseas Migration,12068,,,
Interstate Migration,1/6/2004,New South Wales,Interstate Arrivals,21479,,,
Interstate Migration,1/6/2004,Western Australia,Interstate Arrivals,8096,,,
Interstate Migration,1/6/2004,Victoria,Interstate Departures,17685,,,
Interstate Migration,1/6/2004,Tasmania,Interstate Departures,3288,,,
Overseas Migration,1/9/2004,Australia,Net Overseas Migration,30.4,,,
Interstate Migration,1/9/2004,South Australia,Interstate Arrivals,5606,,,
Interstate Migration,1/9/2004,Australian Capital Territory,Interstate Arrivals,3712,,,
Interstate Migration,1/9/2004,New South Wales,Interstate Departures,25512,,,
Interstate Migration,1/9/2004,Western Australia,Interstate Departures,6485,,,
Overseas Migration,1/12/2004,New South Wales,Net Overseas Migration,7901,,,
Overseas Migration,1/12/2004,Victoria,Net Overseas Migration,6438,,,
Overseas Migration,1/12/2004,Queensland,Net Overseas Migration,7909,,,
Overseas Migration,1/12/2004,South Australia,Net Overseas Migration,1482,,,
Overseas Migration,1/12/2004,Western Australia,Net Overseas Migration,4424,,,
Overseas Migration,1/12/2004,Tasmania,Net Overseas Migration,440,,,
Overseas Migration,1/12/2004,Northern Territory,Net Overseas Migration,80,,,
Overseas Migration,1/12/2004,Australian Capital Territory,Net Overseas Migration,-179,,,
Interstate Migration,1/12/2004,Queensland,Interstate Arrivals,29425,,,
Interstate Migration,1/12/2004,Northern Territory,Interstate Arrivals,4706,,,
Interstate Migration,1/12/2004,South Australia,Interstate Departures,8025,,,
Interstate Migration,1/12/2004,Australian Capital Territory,Interstate Departures,5326,,,
Interstate Migration,1/3/2005,Australia,Overseas Arrivals,138.7,,,
Interstate Migration,1/3/2005,Australia,Overseas Departures,69.9,,,
Overseas Migration,1/3/2005,Australia,Net Overseas Migration,47067,,,
Interstate Migration,1/3/2005,Victoria,Interstate Arrivals,16346,,,
Interstate Migration,1/3/2005,Tasmania,Interstate Arrivals,3394,,,
Interstate Migration,1/3/2005,Queensland,Interstate Departures,18499,,,
Interstate Migration,1/3/2005,Northern Territory,Interstate Departures,3841,,,
Overseas Migration,1/6/2005,Australia,Net Overseas Migration,17.8,,,
Interstate Migration,1/6/2005,New South Wales,Net Interstate Migration,-6306,,,
Interstate Migration,1/6/2005,Victoria,Net Interstate Migration,-934,,,
Interstate Migration,1/6/2005,Queensland,Net Interstate Migration,7083,,,
Interstate Migration,1/6/2005,South Australia,Net Interstate Migration,-678,,,
Interstate Migration,1/6/2005,Western Australia,Net Interstate Migration,531,,,
Interstate Migration,1/6/2005,Tasmania,Net Interstate Migration,73,,,
Interstate Migration,1/6/2005,Northern Territory,Net Interstate Migration,374,,,
Interstate Migration,1/6/2005,Australian Capital Territory,Net Interstate Migration,-135,,,
Interstate Migration,1/6/2005,New South Wales,Interstate Arrivals,20692,,,
Interstate Migration,1/6/2005,Western Australia,Interstate Arrivals,7576,,,
Interstate Migration,1/6/2005,Victoria,Interstate Departures,16895,,,
Interstate Migration,1/6/2005,Tasmania,Interstate Departures,3075,,,
Interstate Migration,1/9/2005,South Australia,Interstate Arrivals,5075,,,
Interstate Migration,1/9/2005,Australian Capital Territory,Interstate Arrivals,4002,,,
Interstate Migration,1/9/2005,New South Wales,Interstate Departures,23620,,,
Interstate Migration,1/9/2005,Western Australia,Interstate Departures,6050,,,
Interstate Migration,1/12/2005,Australia,Overseas Arrivals,104.9,,,
Interstate Migration,1/12/2005,Australia,Overseas Departures,65.4,,,
Overseas Migration,1/12/2005,New South Wales,Net Overseas Migration,8641,,,
Overseas Migration,1/12/2005,Victoria,Net Overseas Migration,8892,,,
Overseas Migration,1/12/2005,Queensland,Net Overseas Migration,8277,,,
Overseas Migration,1/12/2005,South Australia,Net Overseas Migration,2130,,,
Overseas Migration,1/12/2005,Western Australia,Net Overseas Migration,5952,,,
Overseas Migration,1/12/2005,Tasmania,Net Overseas Migration,463,,,
Overseas Migration,1/12/2005,Northern Territory,Net Overseas Migration,262,,,
Overseas Migration,1/12/2005,Australian Capital Territory,Net Overseas Migration,71,,,
Overseas Migration,1/12/2005,Australia,Net Overseas Migration,34682,,,
Interstate Migration,1/12/2005,Queensland,Interstate Arrivals,28680,,,
Interstate Migration,1/12/2005,Northern Territory,Interstate Arrivals,4843,,,
Interstate Migration,1/12/2005,South Australia,Interstate Departures,7343,,,
Interstate Migration,1/12/2005,Australian Capital Territory,Interstate Departures,5100,,,
Overseas Migration,1/3/2006,Australia,Net Overseas Migration,53.2,,,
Interstate Migration,1/3/2006,Victoria,Interstate Arrivals,16044,,,
Interstate Migration,1/3/2006,Tasmania,Interstate Arrivals,3076,,,
Interstate Migration,1/3/2006,Queensland,Interstate Departures,18283,,,
Interstate Migration,1/3/2006,Northern Territory,Interstate Departures,4245,,,
Interstate Migration,1/6/2006,New South Wales,Net Interstate Migration,-6038,,,
Interstate Migration,1/6/2006,Victoria,Net Interstate Migration,-402,,,
Interstate Migration,1/6/2006,Queensland,Net Interstate Migration,6552,,,
Interstate Migration,1/6/2006,South Australia,Net Interstate Migration,-835,,,
Interstate Migration,1/6/2006,Western Australia,Net Interstate Migration,998,,,
Interstate Migration,1/6/2006,Tasmania,Net Interstate Migration,-221,,,
Interstate Migration,1/6/2006,Northern Territory,Net Interstate Migration,-268,,,
Interstate Migration,1/6/2006,Australian Capital Territory,Net Interstate Migration,224,,,
Interstate Migration,1/6/2006,New South Wales,Interstate Arrivals,19554,,,
Interstate Migration,1/6/2006,Western Australia,Interstate Arrivals,7822,,,
Interstate Migration,1/6/2006,Victoria,Interstate Departures,15609,,,
Interstate Migration,1/6/2006,Tasmania,Interstate Departures,3068,,,
Interstate Migration,1/9/2006,Australia,Overseas Arrivals,108.4,,,
Interstate Migration,1/9/2006,Australia,Overseas Departures,51.5,,,
Overseas Migration,1/9/2006,Australia,Net Overseas Migration,56949,,,
Interstate Migration,1/9/2006,South Australia,Interstate Arrivals,5204,,,
Interstate Migration,1/9/2006,Australian Capital Territory,Interstate Arrivals,3913,,,
Interstate Migration,1/9/2006,New South Wales,Interstate Departures,23440,,,
Interstate Migration,1/9/2006,Western Australia,Interstate Departures,6608,,,
Overseas Migration,1/12/2006,Australia,Net Overseas Migration,50.6,,,
Overseas Migration,1/12/2006,New South Wales,Net Overseas Migration,17010,,,
Overseas Migration,1/12/2006,Victoria,Net Overseas Migration,13011,,,
Overseas Migration,1/12/2006,Queensland,Net Overseas Migration,9170,,,
Overseas Migration,1/12/2006,South Australia,Net Overseas Migration,3475,,,
Overseas Migration,1/12/2006,Western Australia,Net Overseas Migration,7221,,,
Overseas Migration,1/12/2006,Tasmania,Net Overseas Migration,406,,,
Overseas Migration,1/12/2006,Northern Territory,Net Overseas Migration,25,,,
Overseas Migration,1/12/2006,Australian Capital Territory,Net Overseas Migration,307,,,
Interstate Migration,1/12/2006,Queensland,Interstate Arrivals,28193,,,
Interstate Migration,1/12/2006,Northern Territory,Interstate Arrivals,4779,,,
Interstate Migration,1/12/2006,South Australia,Interstate Departures,7523,,,
Interstate Migration,1/12/2006,Australian Capital Territory,Interstate Departures,4970,,,
Interstate Migration,1/3/2007,Victoria,Interstate Arrivals,16427,,,
Interstate Migration,1/3/2007,Tasmania,Interstate Arrivals,3228,,,
Interstate Migration,1/3/2007,Queensland,Interstate Departures,19410,,,
Interstate Migration,1/3/2007,Northern Territory,Interstate Departures,4137,,,
Interstate Migration,1/6/2007,Australia,Overseas Arrivals,98.8,,,
Interstate Migration,1/6/2007,Australia,Overseas Departures,49.6,,,
Interstate Migration,1/6/2007,New South Wales,Net Interstate Migration,-6901,,,
Interstate Migration,1/6/2007,Victoria,Net Interstate Migration,-552,,,
Interstate Migration,1/6/2007,Queensland,Net Interstate Migration,5625,,,
Interstate Migration,1/6/2007,South Australia,Net Interstate Migration,-785,,,
Interstate Migration,1/6/2007,Western Australia,Net Interstate Migration,1644,,,
Interstate Migration,1/6/2007,Tasmania,Net Interstate Migration,-205,,,
Interstate Migration,1/6/2007,Northern Territory,Net Interstate Migration,168,,,
Interstate Migration,1/6/2007,Australian Capital Territory,Net Interstate Migration,969,,,
Overseas Migration,1/6/2007,Australia,Net Overseas Migration,49174,,,
Interstate Migration,1/6/2007,New South Wales,Interstate Arrivals,21034,,,
Interstate Migration,1/6/2007,Western Australia,Interstate Arrivals,9667,,,
Interstate Migration,1/6/2007,Victoria,Interstate Departures,17088,,,
Interstate Migration,1/6/2007,Tasmania,Interstate Departures,3306,,,
Overseas Migration,1/9/2007,Australia,Net Overseas Migration,62.8,,,
Interstate Migration,1/9/2007,South Australia,Interstate Arrivals,5134,,,
Interstate Migration,1/9/2007,Australian Capital Territory,Interstate Arrivals,3790,,,
Interstate Migration,1/9/2007,New South Wales,Interstate Departures,24477,,,
Interstate Migration,1/9/2007,Western Australia,Interstate Departures,7528,,,
Overseas Migration,1/12/2007,New South Wales,Net Overseas Migration,18339,,,
Overseas Migration,1/12/2007,Victoria,Net Overseas Migration,14288,,,
Overseas Migration,1/12/2007,Queensland,Net Overseas Migration,10770,,,
Overseas Migration,1/12/2007,South Australia,Net Overseas Migration,3029,,,
Overseas Migration,1/12/2007,Western Australia,Net Overseas Migration,8743,,,
Overseas Migration,1/12/2007,Tasmania,Net Overseas Migration,408,,,
Overseas Migration,1/12/2007,Northern Territory,Net Overseas Migration,214,,,
Overseas Migration,1/12/2007,Australian Capital Territory,Net Overseas Migration,204,,,
Interstate Migration,1/12/2007,Queensland,Interstate Arrivals,27415,,,
Interstate Migration,1/12/2007,Northern Territory,Interstate Arrivals,4997,,,
Interstate Migration,1/12/2007,South Australia,Interstate Departures,7204,,,
Interstate Migration,1/12/2007,Australian Capital Territory,Interstate Departures,5222,,,
Interstate Migration,1/3/2008,Australia,Overseas Arrivals,146.6,,,
Interstate Migration,1/3/2008,Australia,Overseas Departures,53.1,,,
Overseas Migration,1/3/2008,Australia,Net Overseas Migration,93462,,,
Interstate Migration,1/3/2008,Victoria,Interstate Arrivals,16895,,,
Interstate Migration,1/3/2008,Tasmania,Interstate Arrivals,3314,,,
Interstate Migration,1/3/2008,Queensland,Interstate Departures,20523,,,
Interstate Migration,1/3/2008,Northern Territory,Interstate Departures,4310,,,
Overseas Migration,1/6/2008,Australia,Net Overseas Migration,65.1,,,
Interstate Migration,1/6/2008,New South Wales,Net Interstate Migration,-5488,,,
Interstate Migration,1/6/2008,Victoria,Net Interstate Migration,-592,,,
Interstate Migration,1/6/2008,Queensland,Net Interstate Migration,4452,,,
Interstate Migration,1/6/2008,South Australia,Net Interstate Migration,-1024,,,
Interstate Migration,1/6/2008,Western Australia,Net Interstate Migration,1513,,,
Interstate Migration,1/6/2008,Tasmania,Net Interstate Migration,65,,,
Interstate Migration,1/6/2008,Northern Territory,Net Interstate Migration,504,,,
Interstate Migration,1/6/2008,Australian Capital Territory,Net Interstate Migration,534,,,
Interstate Migration,1/6/2008,New South Wales,Interstate Arrivals,20832,,,
Interstate Migration,1/6/2008,Western Australia,Interstate Arrivals,9750,,,
Interstate Migration,1/6/2008,Victoria,Interstate Departures,16611,,,
Interstate Migration,1/6/2008,Tasmania,Interstate Departures,3148,,,
Interstate Migration,1/9/2008,South Australia,Interstate Arrivals,4998,,,
Interstate Migration,1/9/2008,Australian Capital Territory,Interstate Arrivals,3816,,,
Interstate Migration,1/9/2008,New South Wales,Interstate Departures,24238,,,
Interstate Migration,1/9/2008,Western Australia,Interstate Departures,7477,,,
Interstate Migration,1/12/2008,Australia,Overseas Arrivals,132.2,,,
Interstate Migration,1/12/2008,Australia,Overseas Departures,59.1,,,
Overseas Migration,1/12/2008,New South Wales,Net Overseas Migration,23244,,,
Overseas Migration,1/12/2008,Victoria,Net Overseas Migration,18684,,,
Overseas Migration,1/12/2008,Queensland,Net Overseas Migration,14580,,,
Overseas Migration,1/12/2008,South Australia,Net Overseas Migration,3955,,,
Overseas Migration,1/12/2008,Western Australia,Net Overseas Migration,11223,,,
Overseas Migration,1/12/2008,Tasmania,Net Overseas Migration,487,,,
Overseas Migration,1/12/2008,Northern Territory,Net Overseas Migration,322,,,
Overseas Migration,1/12/2008,Australian Capital Territory,Net Overseas Migration,535,,,
Overseas Migration,1/12/2008,Australia,Net Overseas Migration,73034,,,
Interstate Migration,1/12/2008,Queensland,Interstate Arrivals,27769,,,
Interstate Migration,1/12/2008,Northern Territory,Interstate Arrivals,4829,,,
Interstate Migration,1/12/2008,South Australia,Interstate Departures,7354,,,
Interstate Migration,1/12/2008,Australian Capital Territory,Interstate Departures,5438,,,
Overseas Migration,1/3/2009,Australia,Net Overseas Migration,88.7,,,
Interstate Migration,1/3/2009,Victoria,Interstate Arrivals,17007,,,
Interstate Migration,1/3/2009,Tasmania,Interstate Arrivals,3333,,,
Interstate Migration,1/3/2009,Queensland,Interstate Departures,20283,,,
Interstate Migration,1/3/2009,Northern Territory,Interstate Departures,3850,,,
Interstate Migration,1/6/2009,New South Wales,Net Interstate Migration,-3421,,,
Interstate Migration,1/6/2009,Victoria,Net Interstate Migration,402,,,
Interstate Migration,1/6/2009,Queensland,Net Interstate Migration,2855,,,
Interstate Migration,1/6/2009,South Australia,Net Interstate Migration,-710,,,
Interstate Migration,1/6/2009,Western Australia,Net Interstate Migration,473,,,
Interstate Migration,1/6/2009,Tasmania,Net Interstate Migration,-66,,,
Interstate Migration,1/6/2009,Northern Territory,Net Interstate Migration,420,,,
Interstate Migration,1/6/2009,Australian Capital Territory,Net Interstate Migration,13,,,
Interstate Migration,1/6/2009,New South Wales,Interstate Arrivals,21618,,,
Interstate Migration,1/6/2009,Western Australia,Interstate Arrivals,9072,,,
Interstate Migration,1/6/2009,Victoria,Interstate Departures,16272,,,
Interstate Migration,1/6/2009,Tasmania,Interstate Departures,3129,,,
Interstate Migration,1/9/2009,Australia,Overseas Arrivals,122.6,,,
Interstate Migration,1/9/2009,Australia,Overseas Departures,60.1,,,
Overseas Migration,1/9/2009,Australia,Net Overseas Migration,62516,,,
Interstate Migration,1/9/2009,South Australia,Interstate Arrivals,4841,,,
Interstate Migration,1/9/2009,Australian Capital Territory,Interstate Arrivals,3822,,,
Interstate Migration,1/9/2009,New South Wales,Interstate Departures,21346,,,
Interstate Migration,1/9/2009,Western Australia,Interstate Departures,7248,,,
Overseas Migration,1/12/2009,Australia,Net Overseas Migration,41.7,,,
Overseas Migration,1/12/2009,New South Wales,Net Overseas Migration,13994,,,
Overseas Migration,1/12/2009,Victoria,Net Overseas Migration,10933,,,
Overseas Migration,1/12/2009,Queensland,Net Overseas Migration,7259,,,
Overseas Migration,1/12/2009,South Australia,Net Overseas Migration,3227,,,
Overseas Migration,1/12/2009,Western Australia,Net Overseas Migration,5301,,,
Overseas Migration,1/12/2009,Tasmania,Net Overseas Migration,410,,,
Overseas Migration,1/12/2009,Northern Territory,Net Overseas Migration,44,,,
Overseas Migration,1/12/2009,Australian Capital Territory,Net Overseas Migration,498,,,
Interstate Migration,1/12/2009,Queensland,Interstate Arrivals,23590,,,
Interstate Migration,1/12/2009,Northern Territory,Interstate Arrivals,4196,,,
Interstate Migration,1/12/2009,South Australia,Interstate Departures,6621,,,
Interstate Migration,1/12/2009,Australian Capital Territory,Interstate Departures,4963,,,
Interstate Migration,1/3/2010,Victoria,Interstate Arrivals,15684,,,
Interstate Migration,1/3/2010,Tasmania,Interstate Arrivals,3045,,,
Interstate Migration,1/3/2010,Queensland,Interstate Departures,19817,,,
Interstate Migration,1/3/2010,Northern Territory,Interstate Departures,4297,,,
Interstate Migration,1/6/2010,Australia,Overseas Arrivals,88.5,,,
Interstate Migration,1/6/2010,Australia,Overseas Departures,56.5,,,
Interstate Migration,1/6/2010,New South Wales,Net Interstate Migration,-2660,,,
Interstate Migration,1/6/2010,Victoria,Net Interstate Migration,939,,,
Interstate Migration,1/6/2010,Queensland,Net Interstate Migration,1478,,,
Interstate Migration,1/6/2010,South Australia,Net Interstate Migration,-667,,,
Interstate Migration,1/6/2010,Western Australia,Net Interstate Migration,693,,,
Interstate Migration,1/6/2010,Tasmania,Net Interstate Migration,91,,,
Interstate Migration,1/6/2010,Northern Territory,Net Interstate Migration,-123,,,
Interstate Migration,1/6/2010,Australian Capital Territory,Net Interstate Migration,217,,,
Overseas Migration,1/6/2010,Australia,Net Overseas Migration,32008,,,
Interstate Migration,1/6/2010,New South Wales,Interstate Arrivals,20663,,,
Interstate Migration,1/6/2010,Western Australia,Interstate Arrivals,8443,,,
Interstate Migration,1/6/2010,Victoria,Interstate Departures,15054,,,
Interstate Migration,1/6/2010,Tasmania,Interstate Departures,2805,,,
Overseas Migration,1/9/2010,Australia,Net Overseas Migration,41.8,,,
Interstate Migration,1/9/2010,South Australia,Interstate Arrivals,4711,,,
Interstate Migration,1/9/2010,Australian Capital Territory,Interstate Arrivals,3835,,,
Interstate Migration,1/9/2010,New South Wales,Interstate Departures,21188,,,
Interstate Migration,1/9/2010,Western Australia,Interstate Departures,6867,,,
Overseas Migration,1/12/2010,New South Wales,Net Overseas Migration,12623,,,
Overseas Migration,1/12/2010,Victoria,Net Overseas Migration,9197,,,
Overseas Migration,1/12/2010,Queensland,Net Overseas Migration,6768,,,
Overseas Migration,1/12/2010,South Australia,Net Overseas Migration,1677,,,
Overseas Migration,1/12/2010,Western Australia,Net Overseas Migration,7833,,,
Overseas Migration,1/12/2010,Tasmania,Net Overseas Migration,212,,,
Overseas Migration,1/12/2010,Northern Territory,Net Overseas Migration,27,,,
Overseas Migration,1/12/2010,Australian Capital Territory,Net Overseas Migration,58,,,
Interstate Migration,1/12/2010,Queensland,Interstate Arrivals,23815,,,
Interstate Migration,1/12/2010,Northern Territory,Interstate Arrivals,4287,,,
Interstate Migration,1/12/2010,South Australia,Interstate Departures,6807,,,
Interstate Migration,1/12/2010,Australian Capital Territory,Interstate Departures,5277,,,
Interstate Migration,1/3/2011,Australia,Overseas Arrivals,120.4,,,
Interstate Migration,1/3/2011,Australia,Overseas Departures,59.5,,,
Overseas Migration,1/3/2011,Australia,Net Overseas Migration,60970,,,
Interstate Migration,1/3/2011,Victoria,Interstate Arrivals,16343,,,
Interstate Migration,1/3/2011,Tasmania,Interstate Arrivals,2899,,,
Interstate Migration,1/3/2011,Queensland,Interstate Departures,19652,,,
Interstate Migration,1/3/2011,Northern Territory,Interstate Departures,4733,,,
Overseas Migration,1/6/2011,Australia,Net Overseas Migration,39.2,,,
Interstate Migration,1/6/2011,New South Wales,Net Interstate Migration,-4012,,,
Interstate Migration,1/6/2011,Victoria,Net Interstate Migration,1072,,,
Interstate Migration,1/6/2011,Queensland,Net Interstate Migration,1988,,,
Interstate Migration,1/6/2011,South Australia,Net Interstate Migration,-691,,,
Interstate Migration,1/6/2011,Western Australia,Net Interstate Migration,2041,,,
Interstate Migration,1/6/2011,Tasmania,Net Interstate Migration,-215,,,
Interstate Migration,1/6/2011,Northern Territory,Net Interstate Migration,-325,,,
Interstate Migration,1/6/2011,Australian Capital Territory,Net Interstate Migration,144,,,
Interstate Migration,1/6/2011,New South Wales,Interstate Arrivals,19801,,,
Interstate Migration,1/6/2011,Western Australia,Interstate Arrivals,9525,,,
Interstate Migration,1/6/2011,Victoria,Interstate Departures,15120,,,
Interstate Migration,1/6/2011,Tasmania,Interstate Departures,2973,,,
Interstate Migration,1/9/2011,South Australia,Interstate Arrivals,5164,,,
Interstate Migration,1/9/2011,Australian Capital Territory,Interstate Arrivals,4274,,,
Interstate Migration,1/9/2011,New South Wales,Interstate Departures,23112,,,
Interstate Migration,1/9/2011,Western Australia,Interstate Departures,7360,,,
Interstate Migration,1/12/2011,Australia,Overseas Arrivals,116.9,,,
Interstate Migration,1/12/2011,Australia,Overseas Departures,66.3,,,
Overseas Migration,1/12/2011,New South Wales,Net Overseas Migration,12985,,,
Overseas Migration,1/12/2011,Victoria,Net Overseas Migration,12606,,,
Overseas Migration,1/12/2011,Queensland,Net Overseas Migration,9376,,,
Overseas Migration,1/12/2011,South Australia,Net Overseas Migration,2682,,,
Overseas Migration,1/12/2011,Western Australia,Net Overseas Migration,11441,,,
Overseas Migration,1/12/2011,Tasmania,Net Overseas Migration,296,,,
Overseas Migration,1/12/2011,Northern Territory,Net Overseas Migration,462,,,
Overseas Migration,1/12/2011,Australian Capital Territory,Net Overseas Migration,745,,,
Overseas Migration,1/12/2011,Australia,Net Overseas Migration,50595,,,
Interstate Migration,1/12/2011,Queensland,Interstate Arrivals,26389,,,
Interstate Migration,1/12/2011,Northern Territory,Interstate Arrivals,4622,,,
Interstate Migration,1/12/2011,South Australia,Interstate Departures,7387,,,
Interstate Migration,1/12/2011,Australian Capital Territory,Interstate Departures,5269,,,
Overseas Migration,1/3/2012,Australia,Net Overseas Migration,74,,,
Interstate Migration,1/3/2012,Victoria,Interstate Arrivals,17170,,,
Interstate Migration,1/3/2012,Tasmania,Interstate Arrivals,2748,,,
Interstate Migration,1/3/2012,Queensland,Interstate Departures,19890,,,
Interstate Migration,1/3/2012,Northern Territory,Interstate Departures,4445,,,
Interstate Migration,1/6/2012,New South Wales,Net Interstate Migration,-4470,,,
Interstate Migration,1/6/2012,Victoria,Net Interstate Migration,175,,,
Interstate Migration,1/6/2012,Queensland,Net Interstate Migration,2676,,,
Interstate Migration,1/6/2012,South Australia,Net Interstate Migration,-564,,,
Interstate Migration,1/6/2012,Western Australia,Net Interstate Migration,2356,,,
Interstate Migration,1/6/2012,Tasmania,Net Interstate Migration,-554,,,
Interstate Migration,1/6/2012,Northern Territory,Net Interstate Migration,70,,,
Interstate Migration,1/6/2012,Australian Capital Territory,Net Interstate Migration,311,,,
Interstate Migration,1/6/2012,New South Wales,Interstate Arrivals,20549,,,
Interstate Migration,1/6/2012,Western Australia,Interstate Arrivals,9856,,,
Interstate Migration,1/6/2012,Victoria,Interstate Departures,16385,,,
Interstate Migration,1/6/2012,Tasmania,Interstate Departures,3235,,,
Interstate Migration,1/9/2012,Australia,Overseas Arrivals,125.9,,,
Interstate Migration,1/9/2012,Australia,Overseas Departures,62.5,,,
Overseas Migration,1/9/2012,Australia,Net Overseas Migration,63345,,,
Interstate Migration,1/9/2012,South Australia,Interstate Arrivals,4897,,,
Interstate Migration,1/9/2012,Australian Capital Territory,Interstate Arrivals,4120,,,
Interstate Migration,1/9/2012,New South Wales,Interstate Departures,22016,,,
Interstate Migration,1/9/2012,Western Australia,Interstate Departures,7018,,,
Overseas Migration,1/12/2012,Australia,Net Overseas Migration,51,,,
Overseas Migration,1/12/2012,New South Wales,Net Overseas Migration,16456,,,
Overseas Migration,1/12/2012,Victoria,Net Overseas Migration,12811,,,
Overseas Migration,1/12/2012,Queensland,Net Overseas Migration,8482,,,
Overseas Migration,1/12/2012,South Australia,Net Overseas Migration,2108,,,
Overseas Migration,1/12/2012,Western Australia,Net Overseas Migration,9461,,,
Overseas Migration,1/12/2012,Tasmania,Net Overseas Migration,439,,,
Overseas Migration,1/12/2012,Northern Territory,Net Overseas Migration,939,,,
Overseas Migration,1/12/2012,Australian Capital Territory,Net Overseas Migration,297,,,
Interstate Migration,1/12/2012,Queensland,Interstate Arrivals,22154,,,
Interstate Migration,1/12/2012,Northern Territory,Interstate Arrivals,3891,,,
Interstate Migration,1/12/2012,South Australia,Interstate Departures,6581,,,
Interstate Migration,1/12/2012,Australian Capital Territory,Interstate Departures,4587,,,
Interstate Migration,1/3/2013,Victoria,Interstate Arrivals,18759,,,
Interstate Migration,1/3/2013,Tasmania,Interstate Arrivals,2893,,,
Interstate Migration,1/3/2013,Queensland,Interstate Departures,20824,,,
Interstate Migration,1/3/2013,Northern Territory,Interstate Departures,4420,,,
Interstate Migration,1/6/2013,Australia,Overseas Arrivals,102.2,,,
Interstate Migration,1/6/2013,Australia,Overseas Departures,57.5,,,
Interstate Migration,1/6/2013,New South Wales,Net Interstate Migration,-3416,,,
Interstate Migration,1/6/2013,Victoria,Net Interstate Migration,2224,,,
Interstate Migration,1/6/2013,Queensland,Net Interstate Migration,1832,,,
Interstate Migration,1/6/2013,South Australia,Net Interstate Migration,-1183,,,
Interstate Migration,1/6/2013,Western Australia,Net Interstate Migration,999,,,
Interstate Migration,1/6/2013,Tasmania,Net Interstate Migration,-334,,,
Interstate Migration,1/6/2013,Northern Territory,Net Interstate Migration,-79,,,
